Area,Floor,TotalFloor,Bedroom,Living Room,Bathroom,Price
23.8,14,14,2,2,1,29000
41,21,27,3,2,2,60000
31.7,4,5,3,2,2,26000
38.1,5,19,2,2,2,69999
53.2,5,12,4,2,2,129999
29,3,6,3,2,2,21000
48,5,7,3,2,2,50000
18,9,12,2,1,1,45000
28.5,8,11,3,2,2,36000
30,6,14,3,2,1,43000
20,8,12,1,2,1,30000
28,4,5,3,2,1,6100
60,3,6,4,2,3,98000
46.3,11,14,4,2,2,55000
32,3,12,3,2,2,42000
25,5,9,1,1,1,43000
20,8,14,1,1,1,36000
52.2,2,14,3,2,2,45000
31,6,7,3,2,2,65000
26,2,4,2,1,1,32000
65,11,14,3,2,2,99999
26,4,9,3,2,2,45000
20,1,1,3,1,1,12000
118,15,19,7,3,4,180000
87,1,6,4,2,3,100000
72.8,5,15,3,2,3,110000
53,8,13,3,2,2,120000
35,1,14,3,2,2,55000
33,10,12,3,2,2,41000
41,6,7,2,2,2,75000
36.7,9,12,3,2,2,42000
37,12,12,3,2,2,45000
32.8,2,12,3,2,2,38000
28,3,5,3,1,1,28000
30.9,2,7,4,2,2,57777
57.4,6,18,2,2,2,82000
23.7,2,18,1,1,1,53000
53.1,18,21,3,2,2,70000
35.6,6,7,3,2,2,40000
48,9,9,4,2,2,60000
48,9,15,3,2,2,80000
80,5,12,4,2,2,138888
38.2,7,15,3,2,2,45000
10.6,4,10,1,1,1,24800
20.8,13,14,1,1,1,45000
48,3,14,3,2,2,65000
38.7,6,7,3,2,1,36000
